,Model Name,Network type,Dimensions,Sim,Display type,Display size,OS,RAM,CPU,Main Camera
0,Samsung Galaxy Xcover FieldPro,GSM / HSPA / LTE,158.5 x 80.7 x 14.2 mm (6.24 x 3.18 x 0.56 in),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","Capacitive touchscreen, 16M colors","5.1 inches, 71.7 cm2 (~56.1% screen-to-body ratio)",Android 9.0 (Pie),32GB 3GB RAM,Octa-core (4x2.7 GHz Mongoose M3 & 4x1.8 GHz Cortex-A55),"12 MP, PDAF"
1,Samsung Galaxy A70s,GSM / HSPA / LTE,164.3 x 76.7 x 7.9 mm (6.47 x 3.02 x 0.31 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.7 inches, 108.4 cm2 (~86.0% screen-to-body ratio)",Android 9.0 (Pie); One UI,"128GB 6GB RAM, 128GB 8GB RAM",Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),"64 MP, f/1.8, (wide), 1/1.7"", 0.8µm, PDAF
8 MP, f/2.2, 12mm (ultrawide)
5 MP, f/2.2, depth sensor"
2,Samsung Galaxy A20s,GSM / HSPA / LTE,163.3 x 77.5 x 8 mm (6.43 x 3.05 x 0.31 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 103.7 cm2 (~81.9% screen-to-body ratio)",Android 9.0 (Pie),"32GB 3GB RAM, 64GB 4GB RAM",Octa-core 1.8 GHz Cortex-A53,"13 MP, f/1.8, 27mm (wide), PDAF
8 MP, f/2.2, 13mm (ultrawide)
5 MP, f/2.2, depth sensor"
3,Samsung Galaxy M30s,GSM / HSPA / LTE,159 x 75.1 x 8.9 mm (6.26 x 2.96 x 0.35 in),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~84.2% screen-to-body ratio)",Android 9.0 (Pie); One UI,"64GB 4GB RAM, 128GB 6GB RAM",Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"48 MP, f/2.0, (wide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2, 12mm (ultrawide)
5 MP, f/2.2, depth sensor"
4,Samsung Galaxy M10s,GSM / HSPA / LTE,158.4 x 74.7 x 7.8 mm (6.24 x 2.94 x 0.31 in),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~85.0% screen-to-body ratio)",Android 9.0 (Pie),32GB 3GB RAM,Octa-core (2x1.6 GHz Cortex-A73 & 6x1.35 GHz Cortex-A53),"13 MP, f/1.9, 27mm (wide), 1/3.1"", 1.12µm, PDAF
5 MP, f/2.2, 12mm (ultrawide)"
5,Samsung Galaxy Fold 5G,GSM / HSPA / LTE / 5G,Unfolded: 160.9 x 117.9 x 6.9 mm Folded: 160.9 x 62.9 x 15.5 mm,Nano-SIM,"Dynamic AMOLED capacitive touchscreen, 16M colors","7.3 inches, 162.6 cm2 (~85.7% screen-to-body ratio)",Android 9.0 (Pie),512GB 12GB RAM,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"12 MP, f/1.5-2.4, 27mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS
12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom
16 MP, f/2.2, 12mm (ultrawide), 1.0µm"
6,Samsung Galaxy Fold,GSM / HSPA / LTE,Unfolded: 160.9 x 117.9 x 6.9 mm Folded: 160.9 x 62.9 x 15.5 mm,"Nano-SIM, Electronic SIM card (eSIM)","Dynamic AMOLED capacitive touchscreen, 16M colors","7.3 inches, 162.6 cm2 (~85.7% screen-to-body ratio)",Android 9.0 (Pie),512GB 12GB RAM,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"12 MP, f/1.5-2.4, 27mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS
12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom
16 MP, f/2.2, 12mm (ultrawide), 1.0µm"
7,Samsung Galaxy Tab Active Pro,GSM / HSPA / LTE,243.5 x 170.2 x 9.9 mm (9.59 x 6.70 x 0.39 in),Nano-SIM,"LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~71.4% screen-to-body ratio)",Android 9.0 (Pie),64GB 4GB RAM,Octa-core (2x2.0 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),"13 MP, AF"
8,Samsung Galaxy A90 5G,GSM / HSPA / LTE / 5G,164.8 x 76.4 x 8.4 mm (6.49 x 3.01 x 0.33 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.7 inches, 108.4 cm2 (~86.1% screen-to-body ratio)",Android 9.0 (Pie); One UI,"128GB 6GB RAM, 128GB 8GB RAM",Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"48 MP, f/2.0, 26mm (wide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2, 12mm (ultrawide), 1.12µm
5 MP, f/2.2, depth sensor"
9,Samsung Galaxy A30s,GSM / HSPA / LTE,158.5 x 74.7 x 7.8 mm (6.24 x 2.94 x 0.31 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~84.9% screen-to-body ratio)",Android 9.0 (Pie),"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),"25 MP, f/1.7, PDAF
8 MP, f/2.2, 13mm (ultrawide)
5 MP, f/2.2, depth sensor
"
10,Samsung Galaxy A50s,GSM / HSPA / LTE,158.5 x 74.5 x 7.7 mm (6.24 x 2.93 x 0.30 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~85.1% screen-to-body ratio)",Android 9.0 (Pie),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"48 MP, f/2.0, (wide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2, 13mm (ultrawide)
5 MP, f/2.2, depth sensor"
11,Samsung Galaxy Note10+ 5G,GSM / CDMA / HSPA / EVDO / LTE / 5G,162.3 x 77.2 x 7.9 mm (6.39 x 3.04 x 0.31 in),Nano-SIM,"Dynamic AMOLED capacitive touchscreen, 16M colors","6.8 inches, 114.0 cm2 (~91.0% screen-to-body ratio)",Android 9.0 (Pie); One UI,"256GB 12GB RAM, 512GB 12GB RAM",Octa-core (2x2.73 GHz Mongoose M4 & 2x2.4 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55) - EMEA/LATAMOcta-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA/China,"12 MP, f/1.5-2.4, 27mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS
12 MP, f/2.1, 52mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom
16 MP, f/2.2, 12mm (ultrawide), 1.0µm, Super Steady video
TOF 3D VGA camera"
12,Samsung Galaxy Note10+,GSM / CDMA / HSPA / EVDO / LTE,162.3 x 77.2 x 7.9 mm (6.39 x 3.04 x 0.31 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED capacitive touchscreen, 16M colors","6.8 inches, 114.0 cm2 (~91.0% screen-to-body ratio)",Android 9.0 (Pie); One UI,"256GB 12GB RAM, 512GB 12GB RAM",Octa-core (2x2.73 GHz Mongoose M4 & 2x2.4 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55) - EMEA/LATAMOcta-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA/China,"12 MP, f/1.5-2.4, 27mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS
12 MP, f/2.1, 52mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom
16 MP, f/2.2, 12mm (ultrawide), 1.0µm, Super Steady video
TOF 3D VGA camera"
13,Samsung Galaxy Note10 5G,GSM / CDMA / HSPA / EVDO / LTE / 5G,151 x 71.8 x 7.9 mm (5.94 x 2.83 x 0.31 in),Nano-SIM,"Dynamic AMOLED capacitive touchscreen, 16M colors","6.3 inches, 98.6 cm2 (~90.9% screen-to-body ratio)",Android 9.0 (Pie); One UI,256GB 12GB RAM,Octa-core (2x2.73 GHz Mongoose M4 & 2x2.4 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55) - EMEA/LATAMOcta-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA/China,"12 MP, f/1.5-2.4, 27mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS
12 MP, f/2.1, 52mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom
16 MP, f/2.2, 12mm (ultrawide), 1.0µm, Super Steady video"
14,Samsung Galaxy Note10,GSM / CDMA / HSPA / EVDO / LTE,151 x 71.8 x 7.9 mm (5.94 x 2.83 x 0.31 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED capacitive touchscreen, 16M colors","6.3 inches, 98.6 cm2 (~90.9% screen-to-body ratio)",Android 9.0 (Pie); One UI,256GB 8GB RAM,Octa-core (2x2.73 GHz Mongoose M4 & 2x2.4 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55) - EMEA/LATAMOcta-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA/China,"12 MP, f/1.5-2.4, 27mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS
12 MP, f/2.1, 52mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom
16 MP, f/2.2, 12mm (ultrawide), 1.0µm, Super Steady video"
15,Samsung Galaxy A10s,GSM / HSPA / LTE,156.9 x 75.8 x 7.8 mm (6.18 x 2.98 x 0.31 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm2 (~80.7% screen-to-body ratio)",Android 9.0 (Pie),"32GB 2GB RAM, 32GB 3GB RAM",Octa-core 2.0 GHz Cortex-A53,"13 MP, f/1.8, 28mm (wide), AF
2 MP, f/2.4, depth sensor
"
16,Samsung Galaxy A10e,GSM / CDMA / HSPA / LTE,147.3 x 69.6 x 8.4 mm (5.80 x 2.74 x 0.33 in),Nano-SIM,"PLS TFT capacitive touchscreen, 16M colors","5.83 inches, 83.4 cm2 (~81.4% screen-to-body ratio)",Android 9.0 (Pie),32GB 2GB RAM,Octa-core (2x1.6 GHz Cortex-A73 & 6x1.35 GHz Cortex-A53),"8 MP, f/1.9, AF
or
5 MP, AF"
17,Samsung Galaxy Tab S6,GSM / HSPA / LTE,244.5 x 159.5 x 5.7 mm (9.63 x 6.28 x 0.22 in),Nano-SIM,"Super AMOLED capacitive touchscreen, 16M colors","10.5 inches, 321.9 cm2 (~82.5% screen-to-body ratio)",Android 9.0 (Pie); One UI,"128GB 6GB RAM, 256GB 8GB RAM",Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"13 MP, f/2.0, 26mm (wide), 1/3.4"", 1.0µm, AF
5 MP, f/2.2, 12mm (ultrawide), 1.12µm"
18,Samsung Galaxy Tab A 8.0 (2019),GSM / HSPA / LTE,210 x 124.4 x 8 mm (8.27 x 4.90 x 0.31 in),Nano-SIM,"TFT capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~71.0% screen-to-body ratio)",Android 9.0 (Pie),32GB 2GB RAM,Quad-core 2.0 GHz Cortex-A53,"8 MP, AF"
19,Samsung Galaxy Xcover 4s,GSM / HSPA / LTE,146.2 x 73.3 x 9.7 mm (5.76 x 2.89 x 0.38 in),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.3% screen-to-body ratio)",Android 9.0 (Pie),32GB 3GB RAM,Octa-core (2x1.6 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),"16 MP, f/1.7, PDAF"
20,Samsung Galaxy A2 Core,GSM / HSPA / LTE,141.6 x 71 x 9.1 mm (5.57 x 2.80 x 0.36 in),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.6% screen-to-body ratio)",Android 8.0 Oreo (Go edition),"8GB 1GB RAM, 16GB 1GB RAM",Octa-core 1.6 GHz Cortex-A53,"5 MP, f/1.9, AF"
21,Samsung Galaxy View2,HSPA / LTE,417.1 x 263.4 x 17.3 mm (16.42 x 10.37 x 0.68 in),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","17.3 inches, 825.1 cm2 (~75.1% screen-to-body ratio)",Android 8.1 (Oreo),64GB 3GB RAM,Octa-core (2x1.6 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),No
22,Samsung Galaxy S10 5G,GSM / CDMA / HSPA / EVDO / LTE / 5G,162.6 x 77.1 x 7.9 mm (6.40 x 3.04 x 0.31 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED capacitive touchscreen, 16M colors","6.7 inches, 112.0 cm2 (~89.4% screen-to-body ratio)",Android 9.0 (Pie); One UI,"256GB 8GB RAM, 512GB 8GB RAM",Octa-core (2x2.73 GHz Mongoose M4 & 2x2.31 GHz Cortex-A75 & 4x1.95 GHz Cortex-A55) - GlobalOcta-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA,"12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS
12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom
16 MP, f/2.2, 12mm (ultrawide), 1.0µm, Super Steady video
TOF 3D camera"
23,Samsung Galaxy S10+,GSM / CDMA / HSPA / EVDO / LTE,157.6 x 74.1 x 7.8 mm (6.20 x 2.92 x 0.31 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED capacitive touchscreen, 16M colors","6.4 inches, 103.8 cm2 (~88.9% screen-to-body ratio)",Android 9.0 (Pie); One UI,"128GB 8GB RAM, 512GB 8GB RAM, 1TB 12GB RAM",Octa-core (2x2.73 GHz Mongoose M4 & 2x2.31 GHz Cortex-A75 & 4x1.95 GHz Cortex-A55) - EMEA/LATAMOcta-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA/China,"12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS
12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom
16 MP, f/2.2, 12mm (ultrawide), 1.0µm, Super Steady video"
24,Samsung Galaxy S10,GSM / CDMA / HSPA / EVDO / LTE,149.9 x 70.4 x 7.8 mm (5.90 x 2.77 x 0.31 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED capacitive touchscreen, 16M colors","6.1 inches, 93.2 cm2 (~88.3% screen-to-body ratio)",Android 9.0 (Pie); One UI,"128GB 8GB RAM, 512GB 8GB RAM",Octa-core (2x2.73 GHz Mongoose M4 & 2x2.31 GHz Cortex-A75 & 4x1.95 GHz Cortex-A55) - EMEA/LATAMOcta-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA/China,"12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS
12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom
16 MP, f/2.2, 12mm (ultrawide), 1.0µm, Super Steady video"
25,Samsung Galaxy S10e,GSM / CDMA / HSPA / EVDO / LTE,142.2 x 69.9 x 7.9 mm (5.60 x 2.75 x 0.31 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED capacitive touchscreen, 16M colors","5.8 inches, 82.8 cm2 (~83.3% screen-to-body ratio)",Android 9.0 (Pie); One UI,"128GB 6GB RAM, 256GB 8GB RAM",Octa-core (2x2.73 GHz Mongoose M4 & 2x2.31 GHz Cortex-A75 & 4x1.95 GHz Cortex-A55) - EMEA/LATAMOcta-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA/China,"12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS
16 MP, f/2.2, 12mm (ultrawide), 1.0µm, Super Steady video"
26,Samsung Galaxy M40,GSM / HSPA / LTE,155.3 x 73.9 x 7.9 mm (6.11 x 2.91 x 0.31 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm2 (~84.9% screen-to-body ratio)",Android 9.0 (Pie); One UI,"64GB 4GB RAM, 128GB 6GB RAM",Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),"32 MP, f/1.7, 0.8µm, PDAF
8 MP, f/2.2, 12mm (ultrawide), 1.12µm, PDAF
5 MP, f/2.2, depth sensor"
27,Samsung Galaxy M30,GSM / HSPA / LTE,159 x 75.1 x 8.5 mm (6.26 x 2.96 x 0.33 in),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~84.2% screen-to-body ratio)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); One UI","64GB 4GB RAM, 128GB 6GB RAM",Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),"13 MP, f/1.9, PDAF
5 MP, f/2.2, 12mm (ultrawide)
5 MP, f/2.2, depth sensor"
28,Samsung Galaxy M20,GSM / HSPA / LTE,156.4 x 74.5 x 8.8 mm (6.16 x 2.93 x 0.35 in),"Dual SIM (Nano-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm2 (~83.6% screen-to-body ratio)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); One UI","32GB 3GB RAM, 64GB 4GB RAM",Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),"13 MP, f/1.9, 1/3.1"", 1.12µm, PDAF
5 MP, f/2.2, 12mm (ultrawide)"
29,Samsung Galaxy M10,GSM / HSPA / LTE,155.6 x 75.6 x 7.7 mm (6.13 x 2.98 x 0.30 in),"Dual SIM (Nano-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","6.22 inches, 96.6 cm2 (~82.1% screen-to-body ratio)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); One UI","16GB 2GB RAM, 32GB 3GB RAM",Octa-core 1.6 GHz Cortex-A53,"13 MP, f/1.9, 27mm (wide), 1/3.1"", 1.12µm, PDAF
5 MP, f/2.2, 12mm (ultrawide)"
30,Samsung Galaxy A80,GSM / HSPA / LTE,165.2 x 76.5 x 9.3 mm (6.50 x 3.01 x 0.37 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.7 inches, 108.4 cm2 (~85.8% screen-to-body ratio)",Android 9.0 (Pie); One UI,128GB 8GB RAM,Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),"48 MP, f/2.0, 26mm (wide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2, 12mm (ultrawide), 1.12µm
TOF 3D camera, f/1.2, 30mm"
31,Samsung Galaxy A70,GSM / HSPA / LTE,164.3 x 76.7 x 7.9 mm (6.47 x 3.02 x 0.31 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.7 inches, 108.4 cm2 (~86.0% screen-to-body ratio)",Android 9.0 (Pie); One UI,"128GB 6GB RAM, 128GB 8GB RAM",Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),"32 MP, f/1.7, PDAF
8 MP, f/2.2, 12mm (ultrawide)
5 MP, f/2.2, depth sensor"
32,Samsung Galaxy A60,GSM / HSPA / LTE,155.3 x 73.9 x 7.9 mm (6.11 x 2.91 x 0.31 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm2 (~84.9% screen-to-body ratio)",Android 9.0 (Pie); One UI,"64GB 6GB RAM, 128GB 6GB RAM",Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),"32 MP, f/1.7, 0.8µm, PDAF
8 MP, f/2.2, 12mm (ultrawide), 1.12µm
5 MP, f/2.2, depth sensor"
33,Samsung Galaxy A50,GSM / HSPA / LTE,158.5 x 74.7 x 7.7 mm (6.24 x 2.94 x 0.30 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~84.9% screen-to-body ratio)",Android 9.0 (Pie),"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"25 MP, f/1.7, 26mm (wide), PDAF
8 MP, f/2.2, 13mm (ultrawide)
5 MP, f/2.2, depth sensor"
34,Samsung Galaxy A40,GSM / HSPA / LTE,144.4 x 69.2 x 7.9 mm (5.69 x 2.72 x 0.31 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.9 inches, 85.5 cm2 (~85.5% screen-to-body ratio)",Android 9.0 (Pie),64GB 4GB RAM,Octa-core (2x1.77 GHz Cortex-A73 & 6x1.59 GHz Cortex-A53),"16 MP, f/1.7, 26mm (wide), PDAF
5 MP, f/2.2, 13mm (ultrawide)"
35,Samsung Galaxy A30,GSM / HSPA / LTE,158.5 x 74.7 x 7.7 mm (6.24 x 2.94 x 0.30 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~84.9% screen-to-body ratio)",Android 9.0 (Pie),"32GB 3GB RAM, 64GB 4GB RAM",Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),"16 MP, f/1.7, PDAF
5 MP, f/2.2, 12mm, (ultrawide)"
36,Samsung Galaxy A20e,GSM / HSPA / LTE,147.4 x 69.7 x 8.4 mm (5.80 x 2.74 x 0.33 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","5.8 inches, 82.6 cm2 (~80.4% screen-to-body ratio)",Android 9.0 (Pie); One UI,32GB 3GB RAM,Octa-core (2x1.6 GHz Cortex-A73 & 6x1.35 GHz Cortex-A53),"13 MP, f/1.9, 28mm (wide), AF
5 MP, f/2.2, 12mm (ultrawide)"
37,Samsung Galaxy A20,GSM / HSPA / LTE,158.4 x 74.7 x 7.8 mm (6.24 x 2.94 x 0.31 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~85.0% screen-to-body ratio)",Android 9.0 (Pie); One UI,32GB 3GB RAM,Octa-core (2x1.6 GHz Cortex-A73 & 6x1.35 GHz Cortex-A53),"13 MP, f/1.9, 28mm (wide), AF
5 MP, f/2.2, 12mm (ultrawide)"
38,Samsung Galaxy A10,GSM / HSPA / LTE,155.6 x 75.6 x 7.9 mm (6.13 x 2.98 x 0.31 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm2 (~81.6% screen-to-body ratio)",Android 9.0 (Pie),"32GB 2GB RAM, 32GB 4GB RAM",Octa-core (2x1.6 GHz Cortex-A73 & 6x1.35 GHz Cortex-A53),"13 MP, f/1.9, 28mm (wide), AF"
39,Samsung Galaxy Tab S5e,GSM / HSPA / LTE,245 x 160 x 5.5 mm (9.65 x 6.30 x 0.22 in),Nano-SIM,"Super AMOLED capacitive touchscreen, 16M colors","10.5 inches, 319.7 cm2 (~81.6% screen-to-body ratio)",Android 9.0 (Pie); One UI,"64GB 4GB RAM, 128GB 6GB RAM",Octa-core (2x2.0 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),"13 MP, f/2.0, 26mm, 1/3.4"", 1.0µm, AF"
40,Samsung Galaxy Tab A 10.1 (2019),GSM / HSPA / LTE,245.2 x 149.4 x 7.5 mm (9.65 x 5.88 x 0.30 in),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~80.7% screen-to-body ratio)",Android 9.0 (Pie); One UI,"32GB 2GB RAM, 64GB 3GB RAM, 128GB 3GB RAM",Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),"8 MP, f/2.0, AF"
41,Samsung Galaxy Tab A 8.0 & S Pen (2019),GSM / HSPA / LTE,201.5 x 122.4 x 8.9 mm (7.93 x 4.82 x 0.35 in),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~75.2% screen-to-body ratio)",Android 9.0 (Pie); One UI,32GB 3GB RAM,Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),"8 MP, f/2.0, AF"
42,Samsung Galaxy Tab Advanced2,No cellular connectivity,250.4 x 166.2 x 8.5 mm (9.86 x 6.54 x 0.33 in),No,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~71.1% screen-to-body ratio)",Android 8.0 (Oreo),32GB 3GB RAM,Octa-core 1.6 GHz Cortex-A53,"8 MP, AF"
43,Samsung Galaxy Tab A 8.0 (2018),GSM / HSPA / LTE,206.6 x 126.7 x 8.9 mm (8.13 x 4.99 x 0.35 in),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~70.9% screen-to-body ratio)",Android 8.1 (Oreo),32GB 2GB RAM,Quad-core 1.4 GHz Cortex-A53,"5 MP, f/2.2, AF"
